Goa,Hotel,Clark Hotel,luxury,4000,6
agra,Hotel,The taj view hotel,Standard,5500,15
agra,Hotel,Agra heritage hotel,Luxury,18000,4
agra,Hotel,Mughal view hotel,Premium,12000,7
agra,Hotel,Agra city inn,Standard,4500,10
agra,Hotel,Mathura hill resort,Standard,6500,9
aizawl,Hotel,Aizawl heritage resort,Deluxe,9500,7
aizawl,Hotel,Mizoram view resort,Standard,6000,12
alleppey,Hotel,Alleppey beach resort,Deluxe,10000,9
alleppey,Hotel,Kerala beach hotel,Standard,7000,8
aurangabad,Hotel,Aurangabad resort,Standard,5500,12
aurangabad,Hotel,The ajanta view hotel,Deluxe,8000,7
bangalore,Hotel,Bangalore central hotel,Standard,5000,20
bangalore,Hotel,Leela palace,Luxury,22000,2
bangalore,Hotel,Radisson blu,Premium,15000,6
bangalore,Hotel,Coorg resort,Standard,7000,10
bangalore,Hotel,Nandi hills resort,Deluxe,9500,7
bhopal,Hotel,Bhopal city palace,Standard,5000,15
bhopal,Hotel,Lakeview bhopal resort,Deluxe,8500,6
bhubaneswar,Hotel,Bhubaneswar heritage resort,Standard,5000,8
bhubaneswar,Hotel,The puri view resort,Luxury,15000,3
chennai,Hotel,Chennai city hotel,Standard,4500,18
chennai,Hotel,The park chennai,Luxury,23000,3
chennai,Hotel,Bay of bengal resort,Deluxe,10000,10
chennai,Hotel,Ooty hill resort,Standard,6500,9
chennai,Hotel,Kodaikanal retreat,Luxury,16000,5
darjeeling,Hotel,Darjeeling heritage resort,Standard,8000,12
darjeeling,Hotel,Himalayan view hotel,Luxury,15000,3
delhi,Hotel,Delhi city hotel,Standard,4000,15
delhi,Hotel,Taj palace,Luxury,20000,3
delhi,Hotel,Hotel d'elite,Premium,12000,7
delhi,Hotel,Shimla heights,Standard,6500,10
delhi,Hotel,Hill view resort,Deluxe,8500,8
dhanbad,Hotel,Dhanbad grand hotel,Premium,8000,6
dhanbad,Hotel,The coal city hotel,Standard,4500,15
goa,Hotel,Hilltop cottage,Standard,7000,5
goa,Hotel,Palm beach resort,Deluxe,8000,10
goa,Hotel,Goa heritage hotel,Superior,9000,6
goa,Hotel,Goa beach resort,Luxury,12000,8
goa,Hotel,Old goa mansion,Luxury,13000,6
goa,Hotel,Mountain view resort,Luxury,15000,5
guwahati,Hotel,Guwahati royal resort,Luxury,13000,3
guwahati,Hotel,Brahmaputra view resort,Standard,6000,14
imphal,Hotel,Imphal heritage hotel,Premium,7000,10
imphal,Hotel,The manipur resort,Standard,4500,12
indore,Hotel,Indore heritage resort,Premium,12000,5
indore,Hotel,The indore grand,Standard,4500,10
